Cliente,Genero,Aposentado,Casado,Dependentes,T_Empregado,ServiçoLinha,MultiplasLinhas,ServicoInternet,SegurancaOnline,OnlineBackup,ProtecaoEquip,SeguroAdicional,StreamingTV,FilmesStreaming,TIpoContrato,ContaImpresso,MetodoPagamento,ValorPlano,ContaTotal,Churn
"9763-GRSKD,""Masculino"",0,""sim"",""sim"",13,""sim"",""nao"",""DSL"",""sim"",""nao"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""sim"",""Conta Correio"",49.950000,587.450000,""nao"""
"7469-LKBCI,""Masculino"",0,""nao"",""nao"",16,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Fidelizacao"",""nao"",""Cartao de Credito"",18.950000,326.800000,""nao"""
"8091-TTVAX,""Masculino"",0,""sim"",""nao"",58,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""sim"",""nao"",""sim"",""sim"",""Pos-pago"",""nao"",""Cartao de Credito"",100.350000,5681.100000,""nao"""
"0280-XJGEX,""Masculino"",0,""nao"",""nao"",49,""sim"",""sim"",""Fibra otica"",""nao"",""sim"",""sim"",""nao"",""sim"",""sim"",""Pre-pago"",""sim"",""Transferencia"",103.700000,5036.300000,""sim"""
"5129-JLPIS,""Masculino"",0,""nao"",""nao"",25,""sim"",""nao"",""Fibra otica"",""sim"",""nao"",""sim"",""sim"",""sim"",""sim"",""Pre-pago"",""sim"",""Debito na conta"",105.500000,2686.050000,""nao"""
"3655-SNQYZ,""Feminino"",0,""sim"",""sim"",69,""sim"",""sim"",""Fibra otica"",""sim"",""sim"",""sim"",""sim"",""sim"",""sim"",""Fidelizacao"",""nao"",""Cartao de Credito"",113.250000,7895.150000,""nao"""
"8191-XWSZG,""Feminino"",0,""nao"",""nao"",52,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Pos-pago"",""nao"",""Conta Correio"",20.650000,1022.950000,""nao"""
"9959-WOFKT,""Masculino"",0,""nao"",""sim"",71,""sim"",""sim"",""Fibra otica"",""sim"",""nao"",""sim"",""nao"",""sim"",""sim"",""Fidelizacao"",""nao"",""Transferencia"",106.700000,7382.250000,""nao"""
"4190-MFLUW,""Feminino"",0,""sim"",""sim"",10,""sim"",""nao"",""DSL"",""nao"",""nao"",""sim"",""sim"",""nao"",""nao"",""Pre-pago"",""nao"",""Cartao de Credito"",55.200000,528.350000,""sim"""
"4183-MYFRB,""Feminino"",0,""nao"",""nao"",21,""sim"",""nao"",""Fibra otica"",""nao"",""sim"",""sim"",""nao"",""nao"",""sim"",""Pre-pago"",""sim"",""Debito na conta"",90.050000,1862.900000,""nao"""
"8779-QRDMV,""Masculino"",1,""nao"",""nao"",1,""nao"",""Sem servicos"",""DSL"",""nao"",""nao"",""sim"",""nao"",""nao"",""sim"",""Pre-pago"",""sim"",""Debito na conta"",39.650000,39.650000,""sim"""
"1680-VDCWW,""Masculino"",0,""sim"",""nao"",12,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Pos-pago"",""nao"",""Transferencia"",19.800000,202.250000,""nao"""
"1066-JKSGK,""Masculino"",0,""nao"",""nao"",1,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Pre-pago"",""nao"",""Conta Correio"",20.150000,20.150000,""sim"""
"3638-WEABW,""Feminino"",0,""sim"",""nao"",58,""sim"",""sim"",""DSL"",""nao"",""sim"",""nao"",""sim"",""nao"",""nao"",""Fidelizacao"",""sim"",""Cartao de Credito"",59.900000,3505.100000,""nao"""
"6322-HRPFA,""Masculino"",0,""sim"",""sim"",49,""sim"",""nao"",""DSL"",""sim"",""sim"",""nao"",""sim"",""nao"",""nao"",""Pre-pago"",""nao"",""Cartao de Credito"",59.600000,2970.300000,""nao"""
"6865-JZNKO,""Feminino"",0,""nao"",""nao"",30,""sim"",""nao"",""DSL"",""sim"",""sim"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""sim"",""Transferencia"",55.300000,1530.600000,""nao"""
"6467-CHFZW,""Masculino"",0,""sim"",""sim"",47,""sim"",""sim"",""Fibra otica"",""nao"",""sim"",""nao"",""nao"",""sim"",""sim"",""Pre-pago"",""sim"",""Debito na conta"",99.350000,4749.150000,""sim"""
"8665-UTDHZ,""Masculino"",0,""sim"",""sim"",1,""nao"",""Sem servicos"",""DSL"",""nao"",""sim"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""nao"",""Debito na conta"",30.200000,30.200000,""sim"""
"5248-YGIJN,""Masculino"",0,""sim"",""nao"",72,""sim"",""sim"",""DSL"",""sim"",""sim"",""sim"",""sim"",""sim"",""sim"",""Fidelizacao"",""sim"",""Cartao de Credito"",90.250000,6369.450000,""nao"""
"8773-HHUOZ,""Feminino"",0,""nao"",""sim"",17,""sim"",""nao"",""DSL"",""nao"",""nao"",""nao"",""nao"",""sim"",""sim"",""Pre-pago"",""sim"",""Conta Correio"",64.700000,1093.100000,""sim"""
"3841-NFECX,""Feminino"",1,""sim"",""nao"",71,""sim"",""sim"",""Fibra otica"",""sim"",""sim"",""sim"",""sim"",""nao"",""nao"",""Fidelizacao"",""sim"",""Cartao de Credito"",96.350000,6766.950000,""nao"""
"4929-XIHVW,""Masculino"",1,""sim"",""nao"",2,""sim"",""nao"",""Fibra otica"",""nao"",""nao"",""sim"",""nao"",""sim"",""sim"",""Pre-pago"",""sim"",""Cartao de Credito"",95.500000,181.650000,""nao"""
"6827-IEAUQ,""Feminino"",0,""sim"",""sim"",27,""sim"",""nao"",""DSL"",""sim"",""sim"",""sim"",""sim"",""nao"",""nao"",""Pos-pago"",""nao"",""Conta Correio"",66.150000,1874.450000,""nao"""
"7310-EGVHZ,""Masculino"",0,""nao"",""nao"",1,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Pre-pago"",""nao"",""Transferencia"",20.200000,20.200000,""nao"""
"3413-BMNZE,""Masculino"",1,""nao"",""nao"",1,""sim"",""nao"",""DSL"",""nao"",""nao"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""nao"",""Transferencia"",45.250000,45.250000,""nao"""
"6234-RAAPL,""Feminino"",0,""sim"",""sim"",72,""sim"",""sim"",""Fibra otica"",""sim"",""sim"",""nao"",""sim"",""sim"",""nao"",""Fidelizacao"",""nao"",""Transferencia"",99.900000,7251.700000,""nao"""
"6047-YHPVI,""Masculino"",0,""nao"",""nao"",5,""sim"",""nao"",""Fibra otica"",""nao"",""nao"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""sim"",""Debito na conta"",69.700000,316.900000,""sim"""
"6572-ADKRS,""Feminino"",0,""nao"",""nao"",46,""sim"",""nao"",""Fibra otica"",""nao"",""nao"",""sim"",""nao"",""nao"",""nao"",""Pre-pago"",""sim"",""Cartao de Credito"",74.800000,3548.300000,""nao"""
"5380-WJKOV,""Masculino"",0,""nao"",""nao"",34,""sim"",""sim"",""Fibra otica"",""nao"",""sim"",""sim"",""nao"",""sim"",""sim"",""Pre-pago"",""sim"",""Debito na conta"",106.350000,3549.250000,""sim"""
"8168-UQWWF,""Feminino"",0,""nao"",""nao"",11,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""sim"",""nao"",""sim"",""sim"",""Pre-pago"",""sim"",""Transferencia"",97.850000,1105.400000,""sim"""
"8865-TNMNX,""Masculino"",0,""sim"",""sim"",10,""sim"",""nao"",""DSL"",""nao"",""sim"",""nao"",""nao"",""nao"",""nao"",""Pos-pago"",""nao"",""Conta Correio"",49.550000,475.700000,""nao"""
"9489-DEDVP,""Feminino"",0,""sim"",""sim"",70,""sim"",""sim"",""DSL"",""sim"",""sim"",""nao"",""nao"",""sim"",""nao"",""Fidelizacao"",""sim"",""Cartao de Credito"",69.200000,4872.350000,""nao"""
"9867-JCZSP,""Feminino"",0,""sim"",""sim"",17,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Pos-pago"",""nao"",""Conta Correio"",20.750000,418.250000,""nao"""
"4671-VJLCL,""Feminino"",0,""nao"",""nao"",63,""sim"",""sim"",""DSL"",""sim"",""sim"",""sim"",""sim"",""sim"",""nao"",""Fidelizacao"",""sim"",""Cartao de Credito"",79.850000,4861.450000,""nao"""
"4080-IIARD,""Feminino"",0,""sim"",""nao"",13,""sim"",""sim"",""DSL"",""sim"",""sim"",""nao"",""sim"",""sim"",""nao"",""Pre-pago"",""sim"",""Debito na conta"",76.200000,981.450000,""nao"""
"3714-NTNFO,""Feminino"",0,""nao"",""nao"",49,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""nao"",""nao"",""nao"",""sim"",""Pre-pago"",""sim"",""Debito na conta"",84.500000,3906.700000,""nao"""
"5948-UJZLF,""Masculino"",0,""nao"",""nao"",2,""sim"",""nao"",""DSL"",""nao"",""sim"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""nao"",""Conta Correio"",49.250000,97.000000,""nao"""
"7760-OYPDY,""Feminino"",0,""nao"",""nao"",2,""sim"",""nao"",""Fibra otica"",""nao"",""nao"",""nao"",""nao"",""sim"",""nao"",""Pre-pago"",""sim"",""Debito na conta"",80.650000,144.150000,""sim"""
"7639-LIAYI,""Masculino"",0,""nao"",""nao"",52,""sim"",""sim"",""DSL"",""sim"",""nao"",""nao"",""sim"",""sim"",""sim"",""Fidelizacao"",""sim"",""Cartao de Credito"",79.750000,4217.800000,""nao"""
"2954-PIBKO,""Feminino"",0,""sim"",""sim"",69,""sim"",""sim"",""DSL"",""sim"",""nao"",""sim"",""sim"",""nao"",""nao"",""Fidelizacao"",""sim"",""Cartao de Credito"",64.150000,4254.100000,""nao"""
"8012-SOUDQ,""Feminino"",1,""nao"",""nao"",43,""sim"",""sim"",""Fibra otica"",""nao"",""sim"",""nao"",""nao"",""sim"",""nao"",""Pre-pago"",""sim"",""Debito na conta"",90.250000,3838.750000,""nao"""
"9420-LOJKX,""Feminino"",0,""nao"",""nao"",15,""sim"",""nao"",""Fibra otica"",""sim"",""sim"",""nao"",""nao"",""sim"",""sim"",""Pre-pago"",""sim"",""Cartao de Credito"",99.100000,1426.400000,""sim"""
"6575-SUVOI,""Feminino"",1,""sim"",""nao"",25,""sim"",""sim"",""DSL"",""sim"",""nao"",""nao"",""sim"",""sim"",""nao"",""Pre-pago"",""sim"",""Cartao de Credito"",69.500000,1752.650000,""nao"""
"7495-OOKFY,""Feminino"",1,""sim"",""nao"",8,""sim"",""sim"",""Fibra otica"",""nao"",""sim"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""sim"",""Cartao de Credito"",80.650000,633.300000,""sim"""
"4667-QONEA,""Feminino"",1,""sim"",""sim"",60,""sim"",""nao"",""DSL"",""sim"",""sim"",""sim"",""sim"",""nao"",""sim"",""Pos-pago"",""sim"",""Cartao de Credito"",74.850000,4456.350000,""nao"""
"1658-BYGOY,""Masculino"",1,""nao"",""nao"",18,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""nao"",""nao"",""sim"",""sim"",""Pre-pago"",""sim"",""Debito na conta"",95.450000,1752.550000,""sim"""
"8769-KKTPH,""Feminino"",0,""sim"",""sim"",63,""sim"",""sim"",""Fibra otica"",""sim"",""nao"",""nao"",""nao"",""sim"",""sim"",""Pos-pago"",""sim"",""Cartao de Credito"",99.650000,6311.200000,""nao"""
"5067-XJQFU,""Masculino"",1,""sim"",""sim"",66,""sim"",""sim"",""Fibra otica"",""nao"",""sim"",""sim"",""sim"",""sim"",""sim"",""Pos-pago"",""sim"",""Debito na conta"",108.450000,7076.350000,""nao"""
"3957-SQXML,""Feminino"",0,""sim"",""sim"",34,""sim"",""sim"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Fidelizacao"",""nao"",""Cartao de Credito"",24.950000,894.300000,""nao"""
"5954-BDFSG,""Feminino"",0,""nao"",""nao"",72,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""sim"",""sim"",""sim"",""sim"",""Fidelizacao"",""sim"",""Cartao de Credito"",107.500000,7853.700000,""nao"""
"0434-CSFON,""Feminino"",0,""sim"",""nao"",47,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""sim"",""nao"",""sim"",""sim"",""Pre-pago"",""sim"",""Debito na conta"",100.500000,4707.100000,""nao"""
"1215-FIGMP,""Masculino"",0,""nao"",""nao"",60,""sim"",""sim"",""Fibra otica"",""nao"",""sim"",""nao"",""nao"",""sim"",""nao"",""Pre-pago"",""sim"",""Transferencia"",89.900000,5450.700000,""nao"""
"0526-SXDJP,""Masculino"",0,""sim"",""nao"",72,""nao"",""Sem servicos"",""DSL"",""sim"",""sim"",""sim"",""nao"",""nao"",""nao"",""Fidelizacao"",""nao"",""Transferencia"",42.100000,2962.000000,""nao"""
"0557-ASKVU,""Feminino"",0,""sim"",""sim"",18,""sim"",""nao"",""DSL"",""nao"",""nao"",""sim"",""sim"",""nao"",""nao"",""Pos-pago"",""sim"",""Cartao de Credito"",54.400000,957.100000,""nao"""
"5698-BQJOH,""Feminino"",0,""nao"",""nao"",9,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""nao"",""nao"",""sim"",""sim"",""Pre-pago"",""nao"",""Debito na conta"",94.400000,857.250000,""sim"""
"5122-CYFXA,""Feminino"",0,""nao"",""nao"",3,""sim"",""nao"",""DSL"",""nao"",""sim"",""nao"",""sim"",""sim"",""sim"",""Pre-pago"",""sim"",""Debito na conta"",75.300000,244.100000,""nao"""
"8627-ZYGSZ,""Masculino"",0,""sim"",""nao"",47,""sim"",""sim"",""Fibra otica"",""nao"",""sim"",""nao"",""nao"",""nao"",""nao"",""Pos-pago"",""sim"",""Debito na conta"",78.900000,3650.350000,""nao"""
"3410-YOQBQ,""Feminino"",0,""nao"",""nao"",31,""sim"",""nao"",""DSL"",""nao"",""sim"",""sim"",""sim"",""sim"",""sim"",""Fidelizacao"",""nao"",""Conta Correio"",79.200000,2497.200000,""nao"""
"3170-NMYVV,""Feminino"",0,""sim"",""sim"",50,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Fidelizacao"",""nao"",""Transferencia"",20.150000,930.900000,""nao"""
"7410-OIEDU,""Masculino"",0,""nao"",""nao"",10,""sim"",""nao"",""Fibra otica"",""sim"",""nao"",""sim"",""nao"",""nao"",""nao"",""Pre-pago"",""sim"",""Conta Correio"",79.850000,887.350000,""nao"""
"2273-QCKXA,""Masculino"",0,""nao"",""nao"",1,""sim"",""nao"",""DSL"",""nao"",""nao"",""nao"",""sim"",""nao"",""nao"",""Pre-pago"",""nao"",""Conta Correio"",49.050000,49.050000,""nao"""
"0731-EBJQB,""Feminino"",0,""sim"",""sim"",52,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Pos-pago"",""sim"",""Debito na conta"",20.400000,1090.650000,""nao"""
"1891-QRQSA,""Masculino"",1,""sim"",""sim"",64,""sim"",""sim"",""Fibra otica"",""sim"",""nao"",""sim"",""sim"",""sim"",""sim"",""Fidelizacao"",""sim"",""Transferencia"",111.600000,7099.000000,""nao"""
"8028-PNXHQ,""Masculino"",0,""sim"",""sim"",62,""sim"",""sim"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Fidelizacao"",""sim"",""Transferencia"",24.250000,1424.600000,""nao"""
"5630-AHZIL,""Feminino"",0,""nao"",""sim"",3,""sim"",""nao"",""DSL"",""sim"",""nao"",""nao"",""sim"",""nao"",""sim"",""Pre-pago"",""sim"",""Transferencia"",64.500000,177.400000,""nao"""
"2673-CXQEU,""Feminino"",1,""nao"",""nao"",56,""sim"",""sim"",""Fibra otica"",""sim"",""sim"",""sim"",""nao"",""sim"",""sim"",""Pos-pago"",""nao"",""Debito na conta"",110.500000,6139.500000,""nao"""
"6416-JNVRK,""Feminino"",0,""nao"",""nao"",46,""sim"",""nao"",""DSL"",""nao"",""nao"",""nao"",""nao"",""nao"",""sim"",""Pos-pago"",""nao"",""Cartao de Credito"",55.650000,2688.850000,""nao"""
"5590-ZSKRV,""Feminino"",0,""sim"",""sim"",8,""sim"",""nao"",""DSL"",""sim"",""sim"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""nao"",""Conta Correio"",54.650000,482.250000,""nao"""
"0191-ZHSKZ,""Masculino"",1,""nao"",""nao"",30,""sim"",""nao"",""DSL"",""sim"",""sim"",""nao"",""nao"",""sim"",""sim"",""Pre-pago"",""sim"",""Debito na conta"",74.750000,2111.300000,""nao"""
"3887-PBQAO,""Feminino"",0,""sim"",""sim"",45,""sim"",""sim"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Pos-pago"",""sim"",""Cartao de Credito"",25.900000,1216.600000,""nao"""
"5919-TMRGD,""Feminino"",0,""nao"",""sim"",1,""sim"",""nao"",""Fibra otica"",""nao"",""nao"",""nao"",""nao"",""sim"",""nao"",""Pre-pago"",""sim"",""Debito na conta"",79.350000,79.350000,""sim"""
"8108-UXRQN,""Feminino"",0,""sim"",""sim"",11,""nao"",""Sem servicos"",""DSL"",""sim"",""nao"",""nao"",""nao"",""sim"",""sim"",""Pre-pago"",""nao"",""Debito na conta"",50.550000,565.350000,""nao"""
"9191-MYQKX,""Feminino"",0,""sim"",""nao"",7,""sim"",""nao"",""Fibra otica"",""nao"",""nao"",""sim"",""nao"",""nao"",""nao"",""Pre-pago"",""sim"",""Transferencia"",75.150000,496.900000,""sim"""
"9919-YLNNG,""Feminino"",0,""nao"",""nao"",42,""sim"",""nao"",""Fibra otica"",""nao"",""sim"",""sim"",""sim"",""sim"",""sim"",""Pre-pago"",""sim"",""Transferencia"",103.800000,4327.500000,""nao"""
"0318-ZOPWS,""Feminino"",0,""sim"",""nao"",49,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Fidelizacao"",""sim"",""Transferencia"",20.150000,973.350000,""nao"""
"4445-ZJNMU,""Masculino"",0,""nao"",""nao"",9,""sim"",""sim"",""Fibra otica"",""nao"",""sim"",""nao"",""nao"",""sim"",""sim"",""Pre-pago"",""sim"",""Cartao de Credito"",99.300000,918.750000,""nao"""
"4808-YNLEU,""Feminino"",0,""sim"",""nao"",35,""sim"",""nao"",""DSL"",""sim"",""nao"",""nao"",""nao"",""sim"",""nao"",""Pos-pago"",""sim"",""Transferencia"",62.150000,2215.450000,""nao"""
"1862-QRWPE,""Feminino"",0,""sim"",""sim"",48,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Fidelizacao"",""nao"",""Transferencia"",20.650000,1057.000000,""nao"""
"2796-NNUFI,""Feminino"",0,""sim"",""sim"",46,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Fidelizacao"",""sim"",""Conta Correio"",19.950000,927.100000,""nao"""
"3016-KSVCP,""Masculino"",0,""sim"",""nao"",29,""nao"",""Sem servicos"",""DSL"",""nao"",""nao"",""nao"",""nao"",""sim"",""nao"",""Pre-pago"",""nao"",""Conta Correio"",33.750000,1009.250000,""nao"""
"4767-HZZHQ,""Masculino"",0,""sim"",""sim"",30,""sim"",""nao"",""Fibra otica"",""nao"",""sim"",""sim"",""nao"",""nao"",""nao"",""Pre-pago"",""nao"",""Transferencia"",82.050000,2570.200000,""nao"""
"2424-WVHPL,""Masculino"",1,""nao"",""nao"",1,""sim"",""nao"",""Fibra otica"",""nao"",""nao"",""nao"",""sim"",""nao"",""nao"",""Pre-pago"",""nao"",""Debito na conta"",74.700000,74.700000,""nao"""
"7233-PAHHL,""Masculino"",0,""sim"",""sim"",66,""sim"",""sim"",""DSL"",""sim"",""nao"",""sim"",""sim"",""sim"",""sim"",""Fidelizacao"",""sim"",""Conta Correio"",84.000000,5714.250000,""nao"""
"6067-NGCEU,""Feminino"",0,""nao"",""nao"",65,""sim"",""sim"",""Fibra otica"",""sim"",""sim"",""sim"",""nao"",""sim"",""sim"",""Pre-pago"",""sim"",""Cartao de Credito"",111.050000,7107.000000,""nao"""
"9848-JQJTX,""Masculino"",0,""nao"",""nao"",72,""sim"",""sim"",""Fibra otica"",""nao"",""sim"",""sim"",""nao"",""sim"",""sim"",""Fidelizacao"",""sim"",""Transferencia"",100.900000,7459.050000,""nao"""
"8637-XJIVR,""Feminino"",0,""nao"",""nao"",12,""sim"",""sim"",""Fibra otica"",""sim"",""nao"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""sim"",""Debito na conta"",78.950000,927.350000,""sim"""
"9803-FTJCG,""Masculino"",0,""sim"",""sim"",71,""sim"",""sim"",""DSL"",""sim"",""sim"",""nao"",""sim"",""nao"",""nao"",""Pos-pago"",""sim"",""Cartao de Credito"",66.850000,4748.700000,""nao"""
"0278-YXOOG,""Masculino"",0,""nao"",""nao"",5,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Pre-pago"",""nao"",""Conta Correio"",21.050000,113.850000,""sim"""
"3212-KXOCR,""Masculino"",0,""nao"",""nao"",52,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Fidelizacao"",""nao"",""Transferencia"",21.000000,1107.200000,""nao"""
"4598-XLKNJ,""Feminino"",1,""sim"",""nao"",25,""sim"",""nao"",""Fibra otica"",""nao"",""sim"",""sim"",""nao"",""sim"",""sim"",""Pre-pago"",""sim"",""Debito na conta"",98.500000,2514.500000,""sim"""
"6380-ARCEH,""Masculino"",0,""nao"",""nao"",1,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Pre-pago"",""nao"",""Conta Correio"",20.200000,20.200000,""nao"""
"3679-XASPY,""Feminino"",0,""sim"",""sim"",1,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Pre-pago"",""nao"",""Debito na conta"",19.450000,19.450000,""nao"""
"7123-WQUHX,""Masculino"",0,""nao"",""nao"",38,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""sim"",""sim"",""sim"",""nao"",""Pos-pago"",""nao"",""Transferencia"",95.000000,3605.600000,""nao"""
"5386-THSLQ,""Feminino"",1,""sim"",""nao"",66,""nao"",""Sem servicos"",""DSL"",""nao"",""sim"",""sim"",""nao"",""sim"",""nao"",""Pos-pago"",""nao"",""Transferencia"",45.550000,3027.250000,""nao"""
"3192-NQECA,""Masculino"",0,""sim"",""nao"",68,""sim"",""sim"",""Fibra otica"",""nao"",""sim"",""sim"",""sim"",""sim"",""sim"",""Fidelizacao"",""sim"",""Transferencia"",110.000000,7611.850000,""sim"""
"6180-YBIQI,""Masculino"",0,""nao"",""nao"",5,""nao"",""Sem servicos"",""DSL"",""nao"",""nao"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""nao"",""Conta Correio"",24.300000,100.200000,""nao"""
"6728-DKUCO,""Feminino"",0,""sim"",""sim"",72,""sim"",""sim"",""Fibra otica"",""sim"",""sim"",""nao"",""nao"",""sim"",""sim"",""Pos-pago"",""sim"",""Debito na conta"",104.150000,7303.050000,""nao"""
"9750-BOOHV,""Feminino"",0,""nao"",""nao"",32,""nao"",""Sem servicos"",""DSL"",""sim"",""nao"",""nao"",""nao"",""nao"",""nao"",""Pos-pago"",""nao"",""Conta Correio"",30.150000,927.650000,""nao"""
"8597-CWYHH,""Masculino"",0,""nao"",""nao"",43,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""nao"",""nao"",""sim"",""sim"",""Pos-pago"",""nao"",""Conta Correio"",94.350000,3921.300000,""nao"""
"2848-YXSMW,""Masculino"",0,""sim"",""sim"",72,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Fidelizacao"",""nao"",""Cartao de Credito"",19.400000,1363.250000,""nao"""
"0486-HECZI,""Masculino"",0,""sim"",""nao"",55,""sim"",""sim"",""Fibra otica"",""sim"",""sim"",""nao"",""nao"",""sim"",""nao"",""Pre-pago"",""sim"",""Debito na conta"",96.750000,5238.900000,""sim"""
"4549-ZDQYY,""Feminino"",0,""nao"",""nao"",52,""sim"",""nao"",""DSL"",""sim"",""nao"",""sim"",""sim"",""nao"",""nao"",""Pos-pago"",""nao"",""Cartao de Credito"",57.950000,3042.250000,""nao"""
"5712-AHQNN,""Feminino"",0,""nao"",""nao"",43,""sim"",""nao"",""Fibra otica"",""nao"",""sim"",""sim"",""nao"",""sim"",""nao"",""Pre-pago"",""sim"",""Debito na conta"",91.650000,3954.100000,""nao"""
"4846-WHAFZ,""Feminino"",1,""sim"",""nao"",37,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""sim"",""Debito na conta"",76.500000,2868.150000,""sim"""
